,v001,v002,response,v4,v5,v14,v24,v25,v28,v29,v33,v34,v37,v120,v123,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v172.1
367,10,27,0,1799.5,2.0,1797,1799.5,,1700,5.0,2.0,,2.0,4.0,3.0,1995-08-13 07:00:00,8013.0,2017-07-21 08:42:17,0.0,2017-07-21 08:42:17,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
368,10,33,0,3341.1,2.0,3356.6,4221.27,,8400,9.0,3.0,,5.0,3.0,3.0,1996-06-22 08:00:00,7698.0,2017-07-21 08:46:04,0.0,2017-07-21 08:46:03,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
370,11,25,1,250,1.0,399.49,250,,,1.0,1.0,,,6.0,,1999-10-07 20:00:00,6496.0,2017-06-06 07:45:57,44.0,2017-06-06 07:45:57,verified,488 moderate,488.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
373,15,66,0,1000,1.0,1000,1000,,,1.0,1.0,,,1.0,,1998-04-28 20:00:00,7023.0,2017-07-13 09:21:00,7.0,2017-07-13 09:21:00,verified,498 moderate,498.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,college,u
374,15,28,1,1600,1.0,1600,,,,1.0,,,,,,1998-04-28 20:00:00,7023.0,2017-07-18 15:53:15,2.0,2017-07-18 15:53:15,verified,499 moderate,499.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,2.0,2.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
375,15,20,0,,,,,,100,1.0,,,1.0,2.0,,1998-04-28 20:00:00,7023.0,2017-07-21 14:18:39,0.0,2017-07-21 14:18:38,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
376,16,34,0,12360.33,2.0,11815.71,6500,10126.07,10229.03,26.0,4.0,10.0,8.0,2.0,5.0,1999-10-07 20:00:00,6496.0,2016-11-02 14:07:44,260.0,2016-11-02 14:07:44,verified,285 low,285.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
377,13,26,0,,,,,20300,600,28.0,,26.0,1.0,,4.0,2003-01-17 19:00:00,5299.0,2017-07-22 11:55:20,0.0,2017-07-22 11:55:18,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
378,14,27,0,950,2.0,948,,,,2.0,,,,,,1995-08-13 07:00:00,8017.0,2017-07-25 10:00:28,0.0,2017-07-25 10:00:27,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
380,16,26,0,1500,1.0,1500,,1000,,3.0,,1.0,,,,1995-08-13 07:00:00,8014.0,2017-07-22 15:22:01,0.0,2017-07-22 15:22:01,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
381,20,21,0,250,1.0,250,,,2950,5.0,,,5.0,,9.0,1998-04-28 20:00:00,7024.0,2017-07-22 18:27:02,0.0,2017-07-22 18:27:01,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
383,15,30,1,1000,1.0,1200,1100,4250,4400,14.0,3.0,5.0,5.0,12.0,7.0,1998-04-28 20:00:00,7025.0,2012-02-11 00:33:07,1988.0,2017-05-20 06:54:26,verified,092 very low,92.0,2.0,14.0,3.0,lower fraud risk,1.0,fraud score 1 to 100,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
385,19,30,1,,,,,,,,,,,,,1998-04-28 20:00:00,7026.0,2017-07-24 05:20:25,0.0,2017-07-24 05:20:24,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
386,19,29,1,2500,1.0,2500,,,,1.0,,,,,,1998-04-28 20:00:00,7025.0,2017-06-25 10:29:39,27.0,2017-06-25 10:29:38,verified,492 moderate,492.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
388,19,24,0,1600,2.0,1600,,,,3.0,,,,1.0,,1998-04-28 20:00:00,7025.0,2017-07-14 08:58:07,8.0,2017-07-14 08:58:06,verified,497 moderate,497.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
390,11,32,0,,,,1500,6500,2650,22.0,2.0,11.0,4.0,2.0,,1998-04-28 20:00:00,7026.0,2017-07-24 12:49:26,0.0,2017-07-24 12:49:26,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
392,12,49,0,1200,1.0,600,1800,,2050,8.0,2.0,,4.0,3.0,3.0,1995-08-13 07:00:00,8016.0,2017-07-24 11:29:34,0.0,2017-07-24 11:29:34,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
394,15,28,0,,,,,,1700,3.0,,,2.0,,5.0,1995-08-13 07:00:00,8016.0,2017-07-24 13:59:05,0.0,2017-07-24 13:59:05,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
395,22,33,0,2100,2.0,1506.2,4200,21450,2450,40.0,4.0,25.0,4.0,1.0,,1999-10-07 20:00:00,6500.0,2017-07-25 08:44:16,0.0,2017-07-25 08:44:15,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
396,12,34,1,2500,1.0,2482.5,2500,,,1.0,1.0,,,4.0,,1998-04-28 20:00:00,7030.0,2017-07-28 12:54:35,0.0,2017-07-28 12:54:34,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wired,u
398,17,27,0,,,,1600,17850,750,36.0,2.0,26.0,3.0,,,1995-08-13 07:00:00,8017.0,2017-07-25 16:16:33,0.0,2017-07-25 16:16:33,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
399,18,33,0,,,,350,19850,1680,31.0,4.0,17.0,4.0,9.0,3.0,1999-10-07 20:00:00,6500.0,2017-07-25 16:39:44,0.0,2017-07-25 16:39:44,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
402,10,51,0,5625,3.0,5667.73,1637.32,24280.76,12170.83,26.0,2.0,13.0,2.0,2.0,2.0,1998-04-28 20:00:00,7028.0,2012-07-14 19:40:00,1837.0,2017-02-09 17:25:33,verified,094 very low,94.0,2.0,14.0,3.0,lower fraud risk,1.0,fraud score 1 to 100,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,y
403,10,26,0,500,2.0,300,400,800,,3.0,1.0,1.0,,2.0,,1998-04-28 20:00:00,7028.0,2017-07-01 16:10:12,24.0,2017-07-01 16:10:12,verified,493 moderate,493.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
406,13,38,0,,,,,109700,3900,54.0,,45.0,3.0,1.0,2.0,1998-04-28 20:00:00,7028.0,2017-07-26 11:38:50,0.0,2017-07-26 11:38:50,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
407,19,39,0,,,,,3700,,10.0,,9.0,,,,1998-04-28 20:00:00,7028.0,2017-07-26 17:57:56,0.0,2017-07-26 17:57:56,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
408,20,41,0,2500,1.0,2500,2500,,,1.0,1.0,,,1.0,,1999-12-22 19:00:00,6425.0,2017-07-26 19:03:14,0.0,2017-07-26 19:03:14,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
409,0,33,1,2725,2.0,3206.56,2144.72,,892.25,5.0,2.0,,2.0,5.0,13.0,,,2016-11-22 07:00:00,246.0,2017-04-14 14:44:26,verified,287 low,287.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,2.0,2.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
410,11,58,0,2000,1.0,2000,,18700,,13.0,,12.0,,,,1999-05-25 08:00:00,6637.0,2016-06-14 07:00:00,407.0,2016-09-01 03:57:45,verified,209 low,209.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
411,11,25,0,2700,2.0,2716.4,2700,,1900,7.0,3.0,,2.0,3.0,,2003-01-17 19:00:00,5304.0,2017-07-27 10:00:54,0.0,2017-07-27 10:00:54,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
413,18,35,0,5000,1.0,5039.5,6804.87,101513.51,11200,74.0,4.0,58.0,4.0,9.0,3.0,1998-04-28 20:00:00,7029.0,2011-04-22 22:48:00,2287.0,2016-11-27 19:55:36,verified,088 very low,88.0,2.0,14.0,3.0,lower fraud risk,1.0,fraud score 1 to 100,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
414,19,41,0,7600,2.0,7962.59,7600,30320,1570,22.0,2.0,16.0,3.0,3.0,1.0,1999-10-07 20:00:00,6502.0,2017-07-27 17:13:52,0.0,2017-07-27 17:13:50,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
415,19,26,0,,,,1000,21050,,30.0,1.0,28.0,,2.0,,1995-08-13 07:00:00,8019.0,2017-07-27 17:45:57,0.0,2017-07-27 17:45:57,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
417,13,22,0,1806.02,3.0,1822.59,1000,1400,1050,11.0,1.0,3.0,1.0,1.0,1.0,1995-08-13 07:00:00,8020.0,2017-07-28 11:58:33,0.0,2017-07-28 11:58:33,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
418,13,74,0,,,,,1200,,1.0,,1.0,,,,1999-10-07 20:00:00,6503.0,2017-07-28 12:14:16,0.0,2017-07-28 08:12:50,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,2.0,2.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
420,15,36,0,,,,600,6861,2150,48.0,6.0,29.0,9.0,10.0,7.0,1999-05-25 08:00:00,6641.0,2016-03-07 07:00:00,511.0,2016-03-07 10:27:07,validdomain,241 low,241.0,4.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,not sure,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,mobile,u
421,20,23,0,1500,1.0,1919.99,,2700,1000,8.0,,3.0,1.0,9.0,11.0,1999-12-22 19:00:00,6427.0,2016-08-14 15:50:23,347.0,2016-09-06 16:56:58,verified,269 low,269.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,mobile,u
422,9,53,0,7443.19,3.0,7151.98,3200,31040.63,10182.36,30.0,2.0,17.0,5.0,,3.0,1998-04-28 20:00:00,7031.0,2017-07-29 07:49:41,0.0,2017-07-29 07:49:41,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
423,9,31,0,,,,,94060.14,,80.0,,68.0,,13.0,5.0,1995-08-13 07:00:00,8021.0,2017-07-17 21:42:49,11.0,2017-07-17 21:42:48,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
425,12,30,0,1200,1.0,1208.4,1100,2200,1450,12.0,1.0,3.0,2.0,,1.0,1998-04-28 20:00:00,7031.0,2015-12-01 07:00:00,606.0,2015-12-01 11:15:51,verified,224 low,224.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,mobile,u
426,14,52,0,3400,2.0,3100,1400,35950,,19.0,1.0,15.0,,,,1999-10-07 20:00:00,6506.0,2017-07-31 10:26:10,0.0,2017-07-31 10:26:10,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
428,8,31,0,,,,,2350,,2.0,,2.0,,1.0,,1995-08-13 07:00:00,8022.0,2017-07-30 07:05:20,0.0,2017-07-30 07:05:19,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
430,15,38,0,10495.68,3.0,8574.19,700,69850,7595.68,45.0,2.0,34.0,4.0,1.0,1.0,1996-06-22 08:00:00,7707.0,2017-07-30 13:23:46,0.0,2017-07-30 13:23:45,validdomain,500 moderate,500.0,4.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,not sure,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,mobile,u
431,15,55,0,1000,1.0,1000,,5300,,5.0,,4.0,,,,1998-04-28 20:00:00,7032.0,2017-07-30 14:08:54,0.0,2017-07-30 14:08:54,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
434,1,21,0,1050,1.0,681.96,,4390,3432.35,34.0,,15.0,3.0,2.0,1.0,1999-10-07 20:00:00,6506.0,2016-08-31 06:03:19,333.0,2016-08-31 06:03:19,verified,272 low,272.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,mobile,u
436,7,32,1,3000,1.0,3172.1,3000,,,1.0,1.0,,,4.0,6.0,2002-10-18 13:00:00,5399.0,2017-07-31 10:25:56,0.0,2017-07-31 10:25:55,validdomain,500 moderate,500.0,4.0,29.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,not sure,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wired,u
437,8,33,0,4299.79,2.0,3518.81,1300,24850,26743.91,33.0,2.0,16.0,9.0,,7.0,2003-01-17 19:00:00,5308.0,2017-07-31 07:02:52,0.0,2017-07-31 07:02:52,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
440,11,24,0,1500,1.0,750,1500,,,2.0,1.0,,,2.0,,1995-08-13 07:00:00,8023.0,2017-07-31 09:59:24,0.0,2017-07-31 09:59:24,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
442,14,70,1,4991.76,1.0,5575.8,,,2500,2.0,,,1.0,3.0,8.0,1999-10-07 20:00:00,6506.0,2017-02-07 12:47:06,173.0,2017-02-07 12:47:06,verified,453 moderate,453.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,2.0,2.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
443,14,22,0,3100,2.0,3428.5,3300,,,5.0,3.0,,,,6.0,1998-04-28 20:00:00,7033.0,2017-04-04 09:00:47,117.0,2017-04-04 09:00:47,verified,468 moderate,468.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wired,u
444,15,56,0,5211.25,3.0,5318.68,16902.5,12820,14300,32.0,6.0,8.0,7.0,3.0,6.0,1998-04-28 20:00:00,7033.0,2017-07-31 14:00:00,0.0,2017-07-31 14:00:00,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,mobile,u
445,16,32,0,3500,2.0,3921.31,1800,3600,5000,10.0,1.0,2.0,2.0,4.0,3.0,2001-01-01 19:00:00,6054.0,2017-07-31 15:10:07,0.0,2017-07-31 15:10:05,validdomain,500 moderate,500.0,4.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,not sure,yes,low,4.0,510.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,mobile,u
446,17,27,0,,,,,2200,50,11.0,,6.0,1.0,5.0,1.0,1995-08-13 07:00:00,8024.0,2015-04-08 16:20:20,845.0,2015-04-08 16:20:28,verified,142 low,142.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,mobile,y
447,18,25,0,,,,300,7870,900,15.0,2.0,9.0,2.0,1.0,3.0,,,2017-08-01 09:33:40,0.0,2017-08-01 09:33:40,validdomain,500 moderate,500.0,4.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,not sure,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
448,19,27,0,8220.83,5.0,8457.3,6664.39,4300,12133.72,26.0,3.0,5.0,9.0,3.0,7.0,1999-10-07 20:00:00,6507.0,2017-03-12 15:02:49,141.0,2017-04-13 18:30:24,verified,461 moderate,461.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
449,20,59,0,4800,2.0,5122.1,7572.61,6700,15562.6,18.0,3.0,4.0,6.0,1.0,4.0,1998-04-28 20:00:00,7033.0,2017-07-31 19:18:25,0.0,2017-07-31 19:18:24,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
450,22,35,0,2000,1.0,2000,,2750,,5.0,,3.0,,1.0,,1998-04-28 20:00:00,7034.0,2017-08-01 07:21:27,0.0,2017-08-01 07:21:27,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,mobile,u
452,7,27,0,4413,2.0,4439.6,8425.88,32799,11662.88,40.0,5.0,22.0,8.0,3.0,1.0,,,2017-06-07 17:31:45,54.0,2017-06-07 17:31:46,verified,485 moderate,485.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,mobile,u
455,9,38,0,6250,3.0,6309.3,6300,19850,3100,31.0,2.0,20.0,3.0,1.0,1.0,1995-08-13 07:00:00,8024.0,2017-08-01 08:01:15,0.0,2017-08-01 08:01:15,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,mobile,u
456,9,34,0,6800,2.0,6173.4,10100,16050,5000,27.0,4.0,16.0,1.0,4.0,,1998-04-28 20:00:00,7034.0,2017-08-01 08:00:56,0.0,2017-08-01 08:00:56,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,301.0,moderate risk,good,no,,u
457,11,20,0,2000,2.0,2195.9,500,,,4.0,1.0,,,4.0,7.0,1999-09-13 07:00:00,6532.0,2017-05-08 06:57:32,84.0,2017-05-08 06:57:32,verified,477 moderate,477.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
458,12,25,0,355.71,1.0,355.71,200,1100,200,7.0,1.0,3.0,1.0,,,1999-12-22 19:00:00,6431.0,2017-08-01 10:45:01,0.0,2017-08-01 10:45:01,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
459,13,25,0,460,1.0,470,460,,,1.0,1.0,,,1.0,,1999-10-07 20:00:00,6508.0,2017-08-02 08:54:35,0.0,2017-08-02 08:54:34,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,mobile,u
460,13,55,0,500,1.0,501.57,500,1500,,3.0,1.0,1.0,,2.0,,1996-06-22 08:00:00,7709.0,2016-09-22 08:56:05,312.0,2016-09-22 08:56:05,verified,275 low,275.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wired,u
462,15,51,0,10375.23,3.0,9596.61,10718.06,14158,19597.97,39.0,6.0,18.0,6.0,2.0,8.0,1999-10-07 20:00:00,6507.0,2016-09-09 11:27:37,325.0,2016-09-09 11:27:37,verified,273 low,273.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
464,15,39,0,3500,1.0,3581.2,,3550,2000,6.0,,3.0,2.0,1.0,3.0,1998-04-28 20:00:00,7034.0,2017-08-01 14:34:39,0.0,2017-08-01 14:34:38,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wifi,u
465,17,37,0,6274.27,6.0,6256.04,4703.02,3909,2817.71,21.0,4.0,6.0,4.0,6.0,5.0,1999-10-07 20:00:00,6507.0,2017-08-01 15:17:04,0.0,2017-08-01 15:17:03,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,mobile,u
469,20,26,0,7436.7,2.0,7436.7,,6015.03,,11.0,,5.0,,1.0,1.0,,,2017-08-02 06:02:21,0.0,2017-08-02 06:02:21,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,mobile,u
474,9,44,0,,,,2835,80565,6614,93.0,4.0,54.0,12.0,3.0,9.0,1995-08-13 07:00:00,8025.0,2017-08-02 07:50:41,0.0,2017-08-02 07:50:41,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,wired,u
